  Test on huper-singular integration
   After 10
 
                    =================


  WATER DEPTH= -120.000    WAVE AMPLITUDE=  0.50
  WAVE NUMBER=  1.50000  K0=  1.50000  WAVE LENGTH=   4.1888
  ANGULAR FREQU.=  3.83543   WAVE PERIOD=  1.638
  WAVE DIRECTION:  0.000  Degree

   IND       X          Y          Z        DAMPing
 AFTER BODYFD
  IN TASSB0 
   INODE      ANGLE         A3          C31           C32           C33
    1      0.125000      0.000002     -0.427826     -0.427826      0.125000
    2      0.250000      0.001201      0.001163     -0.480470      0.250130
    3      0.250000     -0.000013     -0.000014     -0.855668      0.249999
    4      0.500000      0.002384      0.001783      0.002308      0.500256
    5      0.500000     -0.000062     -0.000055     -0.000055      0.499996
    6      0.500000      0.002384      0.002308      0.001783      0.500256
    7      0.250000     -0.000013     -0.855668     -0.000014      0.249999
    8      0.250000      0.001201     -0.480470      0.001163      0.250130
    9      0.250000      0.000416      0.000260     -0.481256      0.250000
   10      0.250000      0.000004      0.000002     -0.855652      0.250000
   11      0.500000      0.002403      0.001201      0.002325      0.500260
   12      0.500000     -0.000027     -0.000013     -0.000029      0.499998
   13      0.500000      0.000811      0.000507      0.000603      0.499996
   14      0.250000      0.000416      0.000156     -0.481256      0.250000
   15      0.250000      0.000004      0.000001     -0.855652      0.250000
   16      0.500000      0.002403      0.000601      0.002325      0.500260
   17      0.500000     -0.000027     -0.000007     -0.000029      0.499998
   18      0.500000      0.000811      0.000304      0.000603      0.499996
   19      0.250000      0.000416      0.000052     -0.481256      0.250000
   20      0.250000      0.000004      0.000000     -0.855652      0.250000
   21      0.500000      0.002403     -0.000000      0.002325      0.500260
   22      0.500000     -0.000027      0.000000     -0.000029      0.499998
   23      0.500000      0.000811      0.000101      0.000603      0.499996
   24      0.250000      0.000416     -0.000052     -0.481256      0.250000
   25      0.250000      0.000004     -0.000001     -0.855652      0.250000
   26      0.500000      0.002403     -0.000601      0.002325      0.500260
   27      0.500000     -0.000027      0.000007     -0.000029      0.499998
   28      0.500000      0.000811     -0.000101      0.000603      0.499996
   29      0.250000      0.000416     -0.000156     -0.481256      0.250000
   30      0.250000      0.000004     -0.000002     -0.855652      0.250000
   31      0.500000      0.002403     -0.001201      0.002325      0.500260
   32      0.500000     -0.000027      0.000013     -0.000029      0.499998
   33      0.500000      0.000811     -0.000304      0.000603      0.499996
   34      0.250000      0.000416     -0.000260     -0.481256      0.250000
   35      0.250000     -0.000013      0.000014     -0.855668      0.249999
   36      0.500000      0.002384     -0.001783      0.002308      0.500256
   37      0.500000     -0.000062      0.000055     -0.000055      0.499996
   38      0.500000      0.000811     -0.000507      0.000603      0.499996
   39      0.250000      0.001201     -0.001163     -0.480470      0.250130
   40      0.125000      0.000002      0.427826     -0.427826      0.125000
   41      0.250000      0.001201      0.480470      0.001163      0.250130
   42      0.250000     -0.000013      0.855668     -0.000014      0.249999
   43      0.500000      0.002384     -0.002308      0.001783      0.500256
   44      0.500000      0.000811      0.000603      0.000507      0.499996
   45      0.500000     -0.000027     -0.000029     -0.000013      0.499998
   46      0.500000      0.002403      0.002325      0.001201      0.500260
   47      0.250000      0.000004     -0.855652      0.000002      0.250000
   48      0.250000      0.000416     -0.481256      0.000260      0.250000
   49      0.500000      0.000831      0.000416      0.000519      0.500000
   50      0.500000      0.000009      0.000004      0.000004      0.500000
   51      0.500000      0.000831      0.000519      0.000416      0.500000
   52      0.500000      0.000831      0.000208      0.000519      0.500000
   53      0.500000      0.000009      0.000002      0.000004      0.500000
   54      0.500000      0.000831      0.000312      0.000416      0.500000
   55      0.500000      0.000831      0.000000      0.000519      0.500000
   56      0.500000      0.000009      0.000000      0.000004      0.500000
   57      0.500000      0.000831      0.000104      0.000416      0.500000
   58      0.500000      0.000831     -0.000208      0.000519      0.500000
   59      0.500000      0.000009     -0.000002      0.000004      0.500000
   60      0.500000      0.000831     -0.000104      0.000416      0.500000
   61      0.500000      0.000831     -0.000416      0.000519      0.500000
   62      0.500000      0.000009     -0.000004      0.000004      0.500000
   63      0.500000      0.000831     -0.000312      0.000416      0.500000
   64      0.500000      0.000811     -0.000603      0.000507      0.499996
   65      0.500000     -0.000027      0.000029     -0.000013      0.499998
   66      0.500000      0.000831     -0.000519      0.000416      0.500000
   67      0.250000      0.000416      0.481256      0.000260      0.250000
   68      0.250000      0.000004      0.855652      0.000002      0.250000
   69      0.500000      0.002403     -0.002325      0.001201      0.500260
   70      0.500000      0.000811      0.000603      0.000304      0.499996
   71      0.500000     -0.000027     -0.000029     -0.000007      0.499998
   72      0.500000      0.002403      0.002325      0.000601      0.500260
   73      0.250000      0.000004     -0.855652      0.000001      0.250000
   74      0.250000      0.000416     -0.481256      0.000156      0.250000
   75      0.500000      0.000831      0.000416      0.000312      0.500000
   76      0.500000      0.000009      0.000004      0.000002      0.500000
   77      0.500000      0.000831      0.000519      0.000208      0.500000
   78      0.500000      0.000831      0.000208      0.000312      0.500000
   79      0.500000      0.000009      0.000002      0.000002      0.500000
   80      0.500000      0.000831      0.000312      0.000208      0.500000
   81      0.500000      0.000831      0.000000      0.000312      0.500000
   82      0.500000      0.000009      0.000000      0.000002      0.500000
   83      0.500000      0.000831      0.000104      0.000208      0.500000
   84      0.500000      0.000831     -0.000208      0.000312      0.500000
   85      0.500000      0.000009     -0.000002      0.000002      0.500000
   86      0.500000      0.000831     -0.000104      0.000208      0.500000
   87      0.500000      0.000831     -0.000416      0.000312      0.500000
   88      0.500000      0.000009     -0.000004      0.000002      0.500000
   89      0.500000      0.000831     -0.000312      0.000208      0.500000
   90      0.500000      0.000811     -0.000603      0.000304      0.499996
   91      0.500000     -0.000027      0.000029     -0.000007      0.499998
   92      0.500000      0.000831     -0.000519      0.000208      0.500000
   93      0.250000      0.000416      0.481256      0.000156      0.250000
   94      0.250000      0.000004      0.855652      0.000001      0.250000
   95      0.500000      0.002403     -0.002325      0.000601      0.500260
   96      0.500000      0.000811      0.000603      0.000101      0.499996
   97      0.500000     -0.000027     -0.000029     -0.000000      0.499998
   98      0.500000      0.002403      0.002325      0.000000      0.500260
   99      0.250000      0.000004     -0.855652     -0.000000      0.250000
  100      0.250000      0.000416     -0.481256      0.000052      0.250000
  101      0.500000      0.000831      0.000416      0.000104      0.500000
  102      0.500000      0.000009      0.000004     -0.000000      0.500000
  103      0.500000      0.000831      0.000519      0.000000      0.500000
  104      0.500000      0.000831      0.000208      0.000104      0.500000
  105      0.500000      0.000009      0.000002      0.000000      0.500000
  106      0.500000      0.000831      0.000312      0.000000      0.500000
  107      0.500000      0.000831     -0.000000      0.000104      0.500000
  108      0.500000      0.000009     -0.000000     -0.000000      0.500000
  109      0.500000      0.000831      0.000104     -0.000000      0.500000
  110      0.500000      0.000831     -0.000208      0.000104      0.500000
  111      0.500000      0.000009     -0.000002      0.000000      0.500000
  112      0.500000      0.000831     -0.000104     -0.000000      0.500000
  113      0.500000      0.000831     -0.000416      0.000104      0.500000
  114      0.500000      0.000009     -0.000004      0.000000      0.500000
  115      0.500000      0.000831     -0.000312      0.000000      0.500000
  116      0.500000      0.000811     -0.000603      0.000101      0.499996
  117      0.500000     -0.000027      0.000029      0.000000      0.499998
  118      0.500000      0.000831     -0.000519     -0.000000      0.500000
  119      0.250000      0.000416      0.481256      0.000052      0.250000
  120      0.250000      0.000004      0.855652      0.000000      0.250000
  121      0.500000      0.002403     -0.002325     -0.000000      0.500260
  122      0.500000      0.000811      0.000603     -0.000101      0.499996
  123      0.500000     -0.000027     -0.000029      0.000007      0.499998
  124      0.500000      0.002403      0.002325     -0.000601      0.500260
  125      0.250000      0.000004     -0.855652     -0.000001      0.250000
  126      0.250000      0.000416     -0.481256     -0.000052      0.250000
  127      0.500000      0.000831      0.000416     -0.000104      0.500000
  128      0.500000      0.000009      0.000004     -0.000002      0.500000
  129      0.500000      0.000831      0.000519     -0.000208      0.500000
  130      0.500000      0.000831      0.000208     -0.000104      0.500000
  131      0.500000      0.000009      0.000002     -0.000002      0.500000
  132      0.500000      0.000831      0.000312     -0.000208      0.500000
  133      0.500000      0.000831     -0.000000     -0.000104      0.500000
  134      0.500000      0.000009     -0.000000     -0.000002      0.500000
  135      0.500000      0.000831      0.000104     -0.000208      0.500000
  136      0.500000      0.000831     -0.000208     -0.000104      0.500000
  137      0.500000      0.000009     -0.000002     -0.000002      0.500000
  138      0.500000      0.000831     -0.000104     -0.000208      0.500000
  139      0.500000      0.000831     -0.000416     -0.000104      0.500000
  140      0.500000      0.000009     -0.000004     -0.000002      0.500000
  141      0.500000      0.000831     -0.000312     -0.000208      0.500000
  142      0.500000      0.000811     -0.000603     -0.000101      0.499996
  143      0.500000     -0.000027      0.000029      0.000007      0.499998
  144      0.500000      0.000831     -0.000519     -0.000208      0.500000
  145      0.250000      0.000416      0.481256     -0.000052      0.250000
  146      0.250000      0.000004      0.855652     -0.000001      0.250000
  147      0.500000      0.002403     -0.002325     -0.000601      0.500260
  148      0.500000      0.000811      0.000603     -0.000304      0.499996
  149      0.500000     -0.000027     -0.000029      0.000013      0.499998
  150      0.500000      0.002403      0.002325     -0.001201      0.500260
  151      0.250000      0.000004     -0.855652     -0.000002      0.250000
  152      0.250000      0.000416     -0.481256     -0.000156      0.250000
  153      0.500000      0.000831      0.000416     -0.000312      0.500000
  154      0.500000      0.000009      0.000004     -0.000004      0.500000
  155      0.500000      0.000831      0.000519     -0.000416      0.500000
