 
                    =================


  WATER DEPTH= -120.000    WAVE AMPLITUDE=  0.50
  WAVE NUMBER=  1.50000  K0=  1.50000  WAVE LENGTH=   4.1888
  ANGULAR FREQU.=  3.83543   WAVE PERIOD=  1.638
  WAVE DIRECTION:  0.000  Degree

    INODE      XP       YP       ZP       S_ANGLE
     1      1.0000      1.0000      0.0000       0.125000
     2      0.8750      1.0000      0.0000       0.250000
     3      0.7500      1.0000      0.0000       0.250000
     4      0.7500      0.8750      0.0000       0.500000
     5      0.7500      0.7500      0.0000       0.500000
     6      0.8750      0.7500      0.0000       0.500000
     7      1.0000      0.7500      0.0000       0.250000
     8      1.0000      0.8750      0.0000       0.250000
     9      0.6250      1.0000      0.0000       0.250000
    10      0.5000      1.0000      0.0000       0.250000
    11      0.5000      0.8750      0.0000       0.500000
    12      0.5000      0.7500      0.0000       0.500000
    13      0.6250      0.7500      0.0000       0.500000
    14      0.3750      1.0000      0.0000       0.250000
    15      0.2500      1.0000      0.0000       0.250000
    16      0.2500      0.8750      0.0000       0.500000
    17      0.2500      0.7500      0.0000       0.500000
    18      0.3750      0.7500      0.0000       0.500000
    19      0.1250      1.0000      0.0000       0.250000
    20      0.0000      1.0000      0.0000       0.250000
    21      0.0000      0.8750      0.0000       0.500000
    22      0.0000      0.7500      0.0000       0.500000
    23      0.1250      0.7500      0.0000       0.500000
    24     -0.1250      1.0000      0.0000       0.250000
    25     -0.2500      1.0000      0.0000       0.250000
    26     -0.2500      0.8750      0.0000       0.500000
    27     -0.2500      0.7500      0.0000       0.500000
    28     -0.1250      0.7500      0.0000       0.500000
    29     -0.3750      1.0000      0.0000       0.250000
    30     -0.5000      1.0000      0.0000       0.250000
    31     -0.5000      0.8750      0.0000       0.500000
    32     -0.5000      0.7500      0.0000       0.500000
    33     -0.3750      0.7500      0.0000       0.500000
    34     -0.6250      1.0000      0.0000       0.250000
    35     -0.7500      1.0000      0.0000       0.250000
    36     -0.7500      0.8750      0.0000       0.500000
    37     -0.7500      0.7500      0.0000       0.500000
    38     -0.6250      0.7500      0.0000       0.500000
    39     -0.8750      1.0000      0.0000       0.250000
    40     -1.0000      1.0000      0.0000       0.125000
    41     -1.0000      0.8750      0.0000       0.250000
    42     -1.0000      0.7500      0.0000       0.250000
    43     -0.8750      0.7500      0.0000       0.500000
    44      0.7500      0.6250      0.0000       0.500000
    45      0.7500      0.5000      0.0000       0.500000
    46      0.8750      0.5000      0.0000       0.500000
    47      1.0000      0.5000      0.0000       0.250000
    48      1.0000      0.6250      0.0000       0.250000
    49      0.5000      0.6250      0.0000       0.500000
    50      0.5000      0.5000      0.0000       0.500000
    51      0.6250      0.5000      0.0000       0.500000
    52      0.2500      0.6250      0.0000       0.500000
    53      0.2500      0.5000      0.0000       0.500000
    54      0.3750      0.5000      0.0000       0.500000
    55      0.0000      0.6250      0.0000       0.500000
    56      0.0000      0.5000      0.0000       0.500000
    57      0.1250      0.5000      0.0000       0.500000
    58     -0.2500      0.6250      0.0000       0.500000
    59     -0.2500      0.5000      0.0000       0.500000
    60     -0.1250      0.5000      0.0000       0.500000
    61     -0.5000      0.6250      0.0000       0.500000
    62     -0.5000      0.5000      0.0000       0.500000
    63     -0.3750      0.5000      0.0000       0.500000
    64     -0.7500      0.6250      0.0000       0.500000
    65     -0.7500      0.5000      0.0000       0.500000
    66     -0.6250      0.5000      0.0000       0.500000
